Timestamp,LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,SCHOOL DISTANCE,MARKET DISTANCE,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,ENVIRONMENTAL ATMOSPHERE,YEARLY RENT,RULES AND REGULATION,RULES AND REGULATION DESCRIPTION
16/12/2024 20:31:54,Odenigwe,Single room,First Floor,Small,Less than 5 years,Less than 5 minutes walk,More than 30 minutes walk,Moderately accessibile,Public tap (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),No,No,No,Average,No cleaning,Quiet,,170000,Not Strict,There is no lock time
16/12/2024 20:37:39,Behind Flat,Self-contained (Self-con,Second Floor,Medium,Less than 5 years,15-30 minutes walk,15-30 minutes walk,Moderately accessibile,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Neutral,,250000,Moderately Strict,
16/12/2024 20:39:56,Hilltop,Self-contained (Self-con,First Floor,Large,Over 20 years,More than 30 minutes walk,15-30 minutes walk,Very accessible,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Semi-Water Closer,En-suite (inside the apartment),Yes,No,Yes,Secure,Cleaner,Vibrant,Bubbly,150000,Not Strict,"No strict rules ,free passage but secured"
16/12/2024 20:41:04,Odenigwe,Self-contained (Self-con,Ground floor,Medium,10-20 years,15-30 minutes walk,More than 30 minutes walk,Not accessible,Public tap (outside the building),5-15 minutes walk,"Very reliable (near consistent, 18-24 hours/day",Water Closet,Shared within the compound,Yes,No,Yes,Average,Tenants take turns cleaning,Very Quiet,Serene spacy and cool,"20,000",Very Strict,Taking turns to locking the gate by 8pm everyday.
16/12/2024 20:42:26,Odim,Self-contained (Self-con,Ground floor,Small,10-20 years,5-15 minutes walk,More than 30 minutes walk,Very accessible,Public tap (outside the building),5-15 minutes walk,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,Shared within the compound,Yes,No,Yes,Very Secure,Tenants take turns cleaning,Very Quiet,"Too quiet, also eerie ","100,000",Very Strict,"Must be home before 10pm, can't let anyone sleepover, can't have any roommate"
16/12/2024 20:44:45,Hilltop,Self-contained (Self-con,Second Floor,Medium,Less than 5 years,5-15 minutes walk,15-30 minutes walk,Very accessible,Borehole (outside the building),It's within my building,"Very reliable (near consistent, 18-24 hours/day",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Average,Regular cleaning by caretaker,Very Vibrant,Cool,25000,Moderately Strict,
16/12/2024 20:48:06,Odim,Flat,Second Floor,Very Large,Less than 5 years,15-30 minutes walk,Less than 5 minutes walk,Very accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Very Secure,Regular cleaning by caretaker,Neutral,Calm ,"1,000,000",Moderately Strict,10pm lock time
16/12/2024 21:15:21,Hilltop,Self-contained (Self-con,Third Floor,Medium,Less than 5 years,15-30 minutes walk,5-15 minutes walk,Very accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Secure,Regular cleaning by caretaker,Neutral,"It's not too loud, it's mostly quiet. There are socializations from time to time though.",240000,Moderately Strict,
16/12/2024 21:16:28,Onuiyi,Flat,Ground floor,Small,Less than 5 years,More than 30 minutes walk,More than 30 minutes walk,Very accessible,Government water,More than 30 minutes away,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Very Quiet,,"400,000",Not Strict,
16/12/2024 21:24:05,Odim,Single room,Ground floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Moderately accessibile,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Unreliable (frequent blackouts, 6-12 hours/day)",Water Closet,Shared within the compound,No,No,No,Average,Regular cleaning by caretaker,Very Quiet,,"250,000",Moderately Strict,
16/12/2024 21:28:23,Odim,Self-contained (Self-con,Second Floor,Medium,Less than 5 years,Less than 5 minutes walk,Less than 5 minutes walk,Not very accessible,Running water available in your unit,It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Very Secure,Regular cleaning by caretaker,Quiet,,280000,No rules,
16/12/2024 21:35:40,Vet Mountain,Self-contained (Self-con,Ground floor,Medium,10-20 years,More than 30 minutes walk,More than 30 minutes walk,Not very accessible,Public tap (outside the building),5-15 minutes walk,"Unreliable (frequent blackouts, 6-12 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Average,No cleaning,Quiet,It’s chill could be better ,"150,000",No rules,"None, tenants set their rules "
16/12/2024 21:36:40,Odim,Self-contained (Self-con,First Floor,Medium,Less than 5 years,15-30 minutes walk,Less than 5 minutes walk,Not very accessible,Running water available in your unit,It's within my building,"Unreliable (frequent blackouts, 6-12 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Regular cleaning by caretaker,Neutral,Cool,"200,000",Not Strict,Just shutting the gate after you 
16/12/2024 21:36:55,Behind Flat,Self-contained (Self-con,First Floor,Medium,10-20 years,5-15 minutes walk,5-15 minutes walk,Very accessible,"Private tap/tanker (water is delivered to a tank, but not directly to your unit)",It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,No,Yes,Secure,Tenants take turns cleaning,Quiet,,"130,000",Moderately Strict,Disposing waste indiscriminately is generally frowned upon 
16/12/2024 22:08:35,Odenigwe,Self-contained (Self-con,Second Floor,Medium,Less than 5 years,More than 30 minutes walk,5-15 minutes walk,Very accessible,Running water available in your unit,It's within my building,"Very reliable (near consistent, 18-24 hours/day",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Secure,Regular cleaning by caretaker,Neutral,,"300,000",Moderately Strict,Gate lock time: 10pm
16/12/2024 22:33:09,Odim,Self-contained (Self-con,Second Floor,Large,Less than 5 years,Less than 5 minutes walk,More than 30 minutes walk,Moderately accessibile,Borehole (outside the building),It's within my building,"Moderately reliable (occasional blackouts, 12-18 hours/day)",Water Closet,En-suite (inside the apartment),Yes,Yes,Yes,Secure,Regular cleaning by caretaker,Quiet,It is nice ,"350,000",Strict,They lock the gate by 10pm and open them back by 5am
